question,option_1,option_2,option_3,option_4,correct_answer,explanation,question_type
"2
គណនាលីមីត (2 ។ 3)
\lim_{x \to 2} (x^2 + 3)",7,8,6,14,7,"ដំណោះស្រាយ

ដោយសារអនុគមន៍ពហុធាជាប់ត្រង់ ,» -- 2 យើង

គ្រាន់តែជំនួស 2 = 2 ចូល៖ 2? | 3 = 4 | 3 = 7។",multiple_choice
"ន 22 -- 9
គណនាលីមីត 3 2 3 ?
$$\lim _ { x \to 3 } \frac { x ^ { 2 } - 9 } { x - 3 }$$",7,6,5,12,6,"ម

នេះជាទម្រង់មិនកំណត់ 0។ យើងដាក់ជាផលគុណ

កត្តា៖ 282 ។ នាំឱ្យលីមីតគឺ",multiple_choice
"្ប ន 527
គណនាលីមីត .:៕ 2 ?
$$\lim_{x \to 0} \frac{\sin 5 x}{x}$$",6,4,10,5,5,"នរំ ៤

ប្រើរូបមន្ត [ថា 1។ ត្រង់នេះ
នា ៦2 = 5. នរ ៦52 _› 5(1) = 5

ន ង ។",multiple_choice
"3 _ 1
គណនាលីមីត ង 1 ?
$$\lim _ { x \to 1 } \frac { x ^ { 3 } - 1 } { x - 1 } ?$$",3,4,2,6,3,"បំបែករាង 2 -- 1 = (2 -- 1)(2? -- 2 - 1) ។
សម្រួល (2 -- 1) ចោល សល់ 2? | 2 - 1។ ជំនួស

2 = 1 បាន1-1-1=23។",multiple_choice
"== រា
គណនាលីមីត +“ +/:2 -- 2 ?
$$\lim _ { x \to 4 } \frac { x - 4 } { \sqrt { x } - 2 } ?$$",5,4,3,8,4,"បំបែក 2 -- 4 = (+/2 -- 2)(+/2 - 2) ។ សម្រួល
(2 -- 2) សល់ +/2 ។ 2។ ជំនួស 2 = 4 បាន

2។2=4។",multiple_choice
"្ប |ន -- |
គណនាលីមីត ,.“ 21 ?
$$\lim _ { x \to 1 ^ { + } } \frac { | x - 1 | } { x - 1 } ?$$",2,0,1,-1,1,"ចំពោះ 2 > 1 នោះ |2 -- | = 2 -- 1។ ដូចនេះ
ផលចែកស្មើនឹង 1។",multiple_choice
"(2) មានតម្លៃ តើត្រូវមានលក្ខខណ្ឌចាំបាច់
$$\lim _ { x \to a } f ( x )$$",\lim_{x \to a} f(x) = f(a),f(x) \text{ is continuous at } x = a,\lim_{x \to a^-} f(x) \neq \lim_{x \to a^+} f(x),\lim_{x \to a^-} f(x) = \lim_{x \to a^+} f(x),\lim_{x \to a^-} f(x) = \lim_{x \to a^+} f(x),"លីមីតត្រង់ចំណុចមួយមានតម្លៃ លុះត្រាតែលីមីតខាង
ឆ្វេង និងលីមីតខាងស្អាំត្រង់ចំណុចនោះមានតម្លៃស្មើ
គ្នា។",multiple_choice
"1 -- 0082

គណនាលីមីត ឃុ” ?
$$\lim_{{x \to 0}} \frac { 1 - \cos x } { x }$$",0,1,-1,2,0,"1 -- 0082

តាមរូបមន្ត យ “5 1/2 នាំឱ្យ
1 --
055 = 0

2» ស ។",multiple_choice
"គណនាលីមីត ឬ 0522
\lim_{x\to\pi}\cos x",0,-1,-2,1,-1,08 (7) = --1។,multiple_choice
"ម: -- 3 -- 2
គណនាលីមីត ៤  ?
$$\lim _ { x \to 1 } \frac { \sqrt { x + 3 } - 2 } { x - 1 } ?$$",\frac{2}{4},\frac{0}{4},\frac{1}{4},-\frac{1}{4},\frac{1}{4},"គុណឆ្លាស់ (2 ។ 3 - 2) បាន

2 -- 3 -- 4 _ 1
(2 -- 1)(។@ 52) + 2 ។ ជំនួស

2 = 1 បាន 1/4។",multiple_choice
"គណនាលីមីត ផូ ' 32 ។ 3
$$\lim _ { x \to 2 } \sqrt { 3 x + 3 }$$",4,2,6,3,3,"ជំនួស 2 = 2 បូល៖

(ន 5 = 65 = 5 = 3 ។",multiple_choice
"រ ខោ ខ27
គណនាលីមីត .៕ 2 ?
$$\lim_{x \to 0} \frac { \tan 2 x } { x }$$",2,3,1,4,2,"ខោ22 _ ខ ខោ 22
យ 227 ។ កាលណា2 -»0នោះ

ខោ 22 1 = =
22 / នាំឱ្យលីមីតរ

2។

រ",multiple_choice
\lim_{x \to 2} (x^2),5,4,3,8,4,,multiple_choice
$$\lim_{x \to 2} ( x ^ { 2 } ) ?$$,5,3,4,8,4,"ស ១

នេះជាលីមីតសាមញ្ហ ជំនួ នួស + = 2 នាំឱ្យបាន

១? = 4។",multiple_choice
"ប ‹/1 2 -- 1
គណនាលីមីត គ ?
$$\lim_{x \to 0} \frac { \sqrt [ 3 ] { 1 + x } - 1 } { x } ?$$",\frac{2}{3},\frac{0}{3},-\frac{1}{3},\frac{1}{3},\frac{1}{3},"ប្រើរូបមន្ត ៤ -- 0 = (៤ -- ៦)(@ - % - 0)
ដើ

ម្បីគុណកន្សោមឆ្លាស់ ឬប្រើច្បាប់ (/។6ឯ|8| នាំឱ្យ

1
៣73 = 1/3
បាន 3(1 0)” ។",multiple_choice
"1 -- 00842

គណនាលីមីត ៤ 5” 2
$$\lim_{x \to 0} \frac { 1 - \cos 4 x } { x ^ { 2 } } ?$$",8,9,7,16,8,"1 -- 008៤

តាមរូបមន្ត យុ “5” = 1/2 ។ ក្នុងករណីនេះ
1 -- 00542 = 1 00542 [1 .16=8

- (42)? 2 ។",multiple_choice
"7 _ 1
គណនាលីមីត ក 21 ចំពោះ » 6 អ?
$$\lim _ { x \to 1 } \frac { x ^ { n } - 1 } { x - 1 } \text { ที่ } n \in \mathbb { N } ?$$",n - 1,n,n + 1,1,n,"តាមដេរីវេនៃ ,»» ត្រង់ ,» - 1 ឬតាមការបំបែកកត្តា
ខា _ 1 = (2 -- 1)(ន1 | 23 | 1) ។

ជំនួស ,» = 1 បាន ,| តួនៃលេខ 1 គឺស្មើ ។",multiple_choice
