Item ID,Unit ID,Unit Name,Tier,Question Type,Stem in Khmer,Option A,Option B,Option C,Option D,Numeric Entry Format,Correct Answer,What Each Wrong Option Catches,Textbook/Unit Reference
SKU-01,U1,កំណើតសង្គមរាស្ត្រនិយម,Easy,MCQ-4,សម្ដេចព្រះ នរោត្តម សីហនុ បានប្រកាសចុះចេញពីរាជបល្ល័ង្កនៅថ្ងៃណា?,១៨ មីនា ១៩៧០,២ មីនា ១៩៥៥,២៥ កញ្ញា ១៩៥៥,២២ មីនា ១៩៥៥,,B,"D is when Sangkum was founded (20 days later); C is when Samaj Cheat was first organized; A is the 1970 coup date — all real dates from the chapter, wrong event.",Unit 1
SKU-02,U1,កំណើតសង្គមរាស្ត្រនិយម,Easy,MCQ-4,តើអ្នកណាក្នុងចំណោមឥស្សរជននយោបាយខាងក្រោម បានរំលាយគណបក្សខ្លួនចោល ដើម្បីចូលរួមក្នុងក្បាលម៉ាស៊ីនដឹកនាំសង្គមរាស្ត្រនិយម?,ទ្រង់ស៊ីសុវត្ថិ មុនីរ៉េត,លោក ជួប ហ៊ែល,លោក ជួប សំឡុត,លោក សឺន សាន,,D,"B, C, A are real names from the text but from the 1960 Regency Council context (a different time and role) — testing whether the two episodes are kept distinct.",Unit 1
SKU-03,U1,កំណើតសង្គមរាស្ត្រនិយម,Medium,MCQ-4,ហេតុអ្វីបានជាថ្នាក់ដឹកនាំគណបក្សនយោបាយផ្សេងទៀត សម្រេចចិត្តរំលាយគណបក្សខ្លួនចោល ជាជាងបន្តប្រកួតប្រជែងជាមួយសង្គមរាស្ត្រនិយម?,ដោយសារព្រះមហាក្សត្រសុរាម្រិតបញ្ជា,ដោយសារខ្វះថវិកាដំណើរការគណបក្សខ្លួន,ដោយសារពួកគេគ្មានសង្ឃឹមអាចប្រកួតប្រជែងបាន ដោយសារកម្លាំងប្រជាប្រិយភាព រចនាសម្ព័ន្ធមូលដ្ឋាន និងហិរញ្ញវត្ថុដ៏រឹងមាំរបស់សង្គមរាស្ត្រនិយម,ដោយសារត្រូវបានច្បាប់បង្ខំឱ្យរំលាយ,,C,"D, A, B invent coercive or unrelated explanations not supported by the text.",Unit 1
SKU-04,U1,កំណើតសង្គមរាស្ត្រនិយម,Hard,MCQ-4,ជ័យជម្នះ៨៣%+ របស់សង្គមរាស្ត្រនិយមក្នុងការបោះឆ្នោត ១៩៥៥ គួរត្រូវបានយល់ថាជាលទ្ធផលចម្បងនៃកត្តាមួយណា?,ការរួមបញ្ចូលគ្នារវាងប្រជាប្រិយភាពផ្ទាល់ខ្លួន រចនាសម្ព័ន្ធមូលដ្ឋានដ៏រឹងមាំ ការទាក់ទាញអតីតថ្នាក់ដឹកនាំគណបក្សដទៃទៀត និងហិរញ្ញវត្ថុ ដែលរួមគ្នាបំបាត់ការប្រកួតប្រជែងជាក់ស្តែង,ការខ្វះខាតបេក្ខជនប្រកួតប្រជែងតាំងពីដើម,ការគាំទ្រផ្ទាល់ពីរដ្ឋាភិបាលបារាំង,ប្រជាប្រិយភាពរបស់សម្ដេចសីហនុតែម្នាក់ឯង ដោយមិនទាក់ទងនឹងកត្តាផ្សេងទៀត,,A,"Cut-test: D isolates a single, most-memorable factor while the text describes 4 interacting factors together; C, B are invented. Requires holistic understanding rather than single-fact recall.",Unit 1
SKU-19,U1,កំណើតសង្គមរាស្ត្រនិយម,Medium,MCQ-4,ហេតុអ្វីបានជារដ្ឋធម្មនុញ្ញឆ្នាំ១៩៤៧ ក្លាយជាឧបសគ្គចំពោះព្រះរាជតម្រិះរបស់សម្ដេចសីហនុ ដែលចង់ឱ្យគណបក្ស និងមហាជនរួមរស់ជុំវិញព្រះមហាក្សត្រ?,ដោយសារវាតម្រូវឱ្យសេចក្ដីស្នើរបស់ព្រះមហាក្សត្រត្រូវឆ្លងកាត់សភាទើបមានសុពលភាព ហើយគណបក្សក្នុងសភាតែងតែរារាំង,ដោយសារវាផ្ដល់សិទ្ធិឱ្យបារាំងបដិសេធច្បាប់ខ្មែរ,ដោយសារវាតម្រូវឱ្យលាលែងរាជបល្ល័ង្កមុនអាយុ៣៥,ដោយសារវាហាមឃាត់ព្រះមហាក្សត្រមិនឱ្យមានគំនិតនយោបាយ,,A,"D, C, B invent constitutional provisions not stated in the text.",Unit 1
SKU-20,U1,កំណើតសង្គមរាស្ត្រនិយម,Medium,MCQ-4,ការផ្លាស់ប្ដូរពីប្រព័ន្ធពហុបក្សទៅជាប្រព័ន្ធឯកបក្សសង្គមរាស្ត្រនិយម បានកើតឡើងតាមយន្តការណាមួយ?,តាមរយៈរដ្ឋប្រហារយោធា,តាមរយៈច្បាប់ថ្មីមួយហាមឃាត់គណបក្សដទៃទៀតជាផ្លូវការ,តាមរយៈការសម្រេចរបស់អង្គការសហប្រជាជាតិ,តាមរយៈគណបក្សដទៃទៀតរលាយបន្តបន្ទាប់ដោយស្ម័គ្រចិត្ត ក្រោយបរាជ័យក្នុងការបោះឆ្នោត មិនមែនច្បាប់ហាមឃាត់ផ្ទាល់ណាមួយទេ,,D,"B, A, C invent a formal, coercive mechanism not stated in the text.",Unit 1
SKU-05,U2,សមាជជាតិ និងដើមកំណើតនយោបាយអព្យាក្រឹត,Easy,Numeric entry,តើកម្ពុជាបានចូលជាសមាជិកអង្គការសហប្រជាជាតិនៅឆ្នាំណា?,,,,,4-digit year,1955,Students may confuse with 1954 (the Geneva Conference year) if the two events are not kept distinct.,Unit 2
SKU-06,U2,សមាជជាតិ និងដើមកំណើតនយោបាយអព្យាក្រឹត,Medium,MCQ-4,ហេតុអ្វីបានជាសម្ដេចសីហនុទាមទារឱ្យលើកកម្ពស់ 'សមាជជាតិ' ទៅជាស្ថាប័នរដ្ឋតាមផ្លូវច្បាប់ ខណៈវាធ្លាប់ដើរតួជាវេទិកាចំហមិនផ្លូវការតែប៉ុណ្ណោះ?,ដោយសារសមាជជាតិទទួលបានការគាំទ្រតិចតួចពេក,ដោយសារសមាជជាតិចង់ក្លាយជាតុលាការកំពូល,ដោយសារព្រះអង្គមើលឃើញថាសមាជជាតិជាស្ថាប័នការពារអំណាចសង្គមរាស្ត្រនិយម,ដោយសារបារាំងទាមទារឱ្យធ្វើដូច្នេះ,,C,"B, D, A are unsupported or contradictory inventions.",Unit 2
SKU-07,U2,សមាជជាតិ និងដើមកំណើតនយោបាយអព្យាក្រឹត,Medium,MCQ-4,តើសេចក្ដីថ្លែងណាមួយពិពណ៌នាបានត្រឹមត្រូវបំផុត អំពីលំដាប់ព្រឹត្តិការណ៍ពិតប្រាកដនៃការកកើតឡើងនៃនយោបាយអព្យាក្រឹតកម្ពុជា?,នយោបាយអព្យាក្រឹតកើតចេញពីរដ្ឋធម្មនុញ្ញ១៩៤៧,សម្ដេចសីហនុជាអ្នកបង្កើតគំនិតនេះដំបូងបង្អស់ដោយឯករាជ្យទាំងស្រុង,ត្រូវបានកំណត់ដំបូងជាលក្ខខណ្ឌនៃសន្និសីទសឺណែវ ១៩៥៤ (ដោយសម្ពាធពីចិន-សូវៀត) មុននឹងសម្ដេចសីហនុពង្រឹងវាបន្តតាមការទូតផ្ទាល់,នយោបាយអព្យាក្រឹតកើតចេញពីសន្និសីទបានឌុងជាដំបូង,,C,Cut-test: B is the intuitive-but-wrong assumption crediting Sihanouk entirely for a policy shaped first by external great-power pressure. D misplaces the origin at a later reinforcing event. A is fabricated.,Unit 2
SKU-21,U2,សមាជជាតិ និងដើមកំណើតនយោបាយអព្យាក្រឹត,Easy,MCQ-4,ក្នុងចំណោមសមិទ្ធផលរបស់សមាជជាតិ តើមានការសម្រេចអ្វីមួយទាក់ទងភាសា?,ការទាមទារឱ្យរៀនភាសាចិន,ការកំណត់ភាសាខ្មែរជាភាសាផ្លូវការ,ការហាមឃាត់ភាសាបារាំងទាំងស្រុង,ការបង្កើតភាសាថ្មីមួយ,,B,"C, A, D invent achievements not stated in the text.",Unit 2
SKU-22,U2,សមាជជាតិ និងដើមកំណើតនយោបាយអព្យាក្រឹត,Medium,MCQ-4,តាមរដ្ឋធម្មនុញ្ញ ប្រសិនបើសភាជាតិ និងរដ្ឋាភិបាលមិនពេញចិត្តនឹងសេចក្ដីសម្រេចរបស់សមាជជាតិ តើជំហានបន្ទាប់ជាអ្វី?,លើកយករឿងទៅពិភាក្សាបន្តនៅសមាជជាតិលើកក្រោយ ហើយបើនៅតែមិនឯកច្ឆន្ទ ត្រូវធ្វើប្រជាមតិ,រដ្ឋាភិបាលមានសិទ្ធិច្រានចោលភ្លាមៗ,ព្រះមហាក្សត្រសម្រេចចុងក្រោយតែម្នាក់ឯង,ត្រូវរំសាយសមាជជាតិភ្លាមៗ,,A,"B, C, D contradict the two-step escalation process (next session, then referendum) quoted directly from the constitution.",Unit 2
SKU-23,U2,សមាជជាតិ និងដើមកំណើតនយោបាយអព្យាក្រឹត,Hard,MCQ-4,នៅសន្និសីទបានឌុង សម្ដេចសីហនុបានទទួលការសន្យាគោរពគោលការណ៍ដូចគ្នា (គោរពអធិបតេយ្យភាព មិនជ្រៀតជ្រែក) ពីទាំងមេដឹកនាំចិន និងវៀតណាម។ សេចក្ដីសន្យានេះមានសារៈសំខាន់បែបណាចំពោះគោលនយោបាយអព្យាក្រឹតកម្ពុជា?,វាមានន័យថាកម្ពុជាចូលជាសម្ព័ន្ធមិត្តជាមួយចិន និងវៀតណាមខាងជើងជាផ្លូវការ,វាធានាថាចិន និងវៀតណាមនឹងមិនដែលជះឥទ្ធិពលលើកម្ពុជាទៀតឡើយ,វាបង្កើតជាមូលដ្ឋានគោលការណ៍ផ្លូវការសម្រាប់ទំនាក់ទំនងកម្ពុជាជាមួយប្រទេសទាំងសងខាង ដោយមិនធ្វើឱ្យខ្លួនក្លាយជាតំបន់ជម្លោះ ទោះជាក្រោយមកកម្ពុជានៅតែជួបសម្ពាធពីខាងក្រៅដទៃទៀត,គ្មានប្រយោជន៍អ្វីជាក់ស្ដែងសោះឡើយ,,C,"Cut-test: B overclaims permanent immunity, contradicted by the later Cold War pressure the chapter describes; A misreads a mutual-respect pledge as a formal alliance; D dismisses a genuinely foundational moment. Requires holding the founding principle's real (limited) scope in view.",Unit 2
