Item ID,Unit ID,Unit Name,Tier,Question Type,Stem in Khmer,Option A,Option B,Option C,Option D,Numeric Entry Format,Correct Answer,What Each Wrong Option Catches,Textbook/Unit Reference
FRU-01,U1,ការស្វែងរកអាណាព្យាបាល,Easy,MCQ-4,ចម្លើយពីព្រះចៅអធិរាជបារាំង ដែលបានមកដល់ក្នុងឆ្នាំ១៨៥៥ មានខ្លឹមសារយ៉ាងណា?,ផ្ដល់ការទទួលស្គាល់កម្ពុជាត្រឹមតែជាដៃគូពាណិជ្ជកម្មប៉ុណ្ណោះ,យល់ព្រមផ្ដល់អាណាព្យាបាលពេញលេញភ្លាមៗ,សន្យាថានឹងផ្ញើទ័ពមកជួយភ្លាមៗ,បដិសេធមិនចង់ទាក់ទងជាមួយកម្ពុជាទាំងស្រុង,,A,"B, C overstate a positive response not in the text; D contradicts the fact that France did reply, just weakly.",Unit 1
FRU-02,U1,ការស្វែងរកអាណាព្យាបាល,Medium,MCQ-4,ហេតុអ្វីបានជាព្រះបាទអង្គឌួងសម្រេចចាត់ទ័ពខ្មែរទៅខេត្តមាត់ជ្រូក ក្នុងឆ្នាំ១៨៥៩ ខណៈពេលដែលបារាំងទើបតែចាប់កាន់កាប់ព្រៃនគរ ហើយពុំទាន់មានសម្ព័ន្ធភាពផ្លូវការជាមួយខ្មែរនៅឡើយ?,ដើម្បីរើសអង្ករជូនកងទ័ពបារាំង,ដើម្បីបង្ក្រាបចលនាបះបោរក្នុងស្រុក,ដើម្បីបង្ហាញភស្តុតាងថាទឹកដីកម្ពុជាក្រោមនៅតែជារបស់ខ្មែរ ខណៈមានឱកាសល្អពីវត្តមានបារាំងថ្មីៗនៅតំបន់នោះ,ដើម្បីជួយបារាំងច្បាំងនឹងអណ្ណាមផ្ទាល់,,C,"Cut-test: D, A, B invent unrelated purposes. Requires connecting the territorial-claim motive to the political opportunity created by France's new presence, not simple recall of the troop movement itself.",Unit 1
FRU-19,U1,ការស្វែងរកអាណាព្យាបាល,Easy,MCQ-4,តើផ្លូវថ្មីមួយណាដែលព្រះបាទអង្គឌួងបានឲ្យកសាង ដើម្បីភ្ជាប់ទៅកំពង់ផែសមុទ្រថ្មី?,ផ្លូវពីឧដុង្គទៅកំពត កាត់តាមស្រុកឈូក,ផ្លូវពីភ្នំពេញទៅសៀមរាប,ផ្លូវពីកំពង់ចាមទៅព្រៃវែង,ផ្លូវពីបាត់ដំបងទៅសៀម,,A,"B, D, C invent other routes not stated in the text.",Unit 1
FRU-20,U1,ការស្វែងរកអាណាព្យាបាល,Medium,MCQ-4,ហេតុអ្វីបានជាព្រះបាទអង្គឌួងចាំបាច់ត្រូវកសាងកំពង់ផែសមុទ្រថ្មី ជំនួសឱ្យប្រើកំពង់ផែចាស់?,ដោយសារបារាំងបញ្ជាឱ្យកសាង,ដោយសារកំពង់ផែចាស់តូចពេក,ដោយសារកំពង់ផែចាស់ត្រូវបានប្រទេសអណ្ណាមលេបយក ធ្វើឱ្យខ្មែរបាត់ផ្លូវទំនាក់ទំនងពាណិជ្ជកម្មអន្តរជាតិតាមផ្លូវសមុទ្រផ្ទាល់,ដោយសារកំពង់ផែចាស់ត្រូវបំផ្លាញដោយសង្គ្រាមស៊ីវិល,,C,"B, A, D invent explanations not in the text.",Unit 1
FRU-21,U1,ការស្វែងរកអាណាព្យាបាល,Medium,MCQ-4,ថ្វីត្បិតតែបេសកកម្មរុករករបស់បារាំងឡើងតាមទន្លេមេគង្គទៅចិនភាគខាងត្បូងបានបរាជ័យ ក៏ដោយ ហេតុអ្វីបានជាបារាំងនៅតែបន្តចាប់អារម្មណ៍លើកម្ពុជា?,ដោយសារកម្ពុជាមានកងទ័ពខ្លាំងបំផុតក្នុងតំបន់,ដោយសារខ្មែរបានផ្ដល់ជំនួយហិរញ្ញវត្ថុដល់បារាំង,ដោយសារព្រះបាទអង្គឌួងអញ្ជើញបារាំងមកតាំងទីលំនៅ,ដោយសារពួកគេបានឃើញថាកម្ពុជាមានផ្ទៃដីកសិកម្មសម្បូរបែប ព្រៃឈើ និងរ៉ែ ដែលអាចបម្រើវិស័យឧស្សាហកម្មបារាំង ទោះមិនទាន់មានមធ្យោបាយទាញយកភ្លាមៗក៏ដោយ,,D,"Cut-test: requires connecting the failed exploration with a separate, forward-looking resource motive stated in the text, not assuming failure equals disinterest. A, B, C are invented.",Unit 1
FRU-22,U1,ការស្វែងរកអាណាព្យាបាល,Hard,MCQ-4,ប្រៀបធៀបរវាងសកម្មភាពរបស់ព្រះបាទអង្គឌួងក្នុងឆ្នាំ១៨៥៣ (បេសកកម្មលោកមីស) និងឆ្នាំ១៨៥៩ (ការចាត់ទ័ពទៅមាត់ជ្រូក) តើសកម្មភាពមួយណាបង្ហាញពីការផ្លាស់ប្ដូរយុទ្ធសាស្ត្រពីការស្នើសុំការទូតទៅជាសកម្មភាពប្រកបដោយអះអាងផ្ទាល់លើទឹកដី?,ការចាត់ទ័ពទៅមាត់ជ្រូកឆ្នាំ១៨៥៩ ព្រោះជាសកម្មភាពជាក់ស្ដែងលើទឹកដីផ្ទាល់ មិនមែនគ្រាន់តែជាការទាក់ទងសុំជំនួយតាមលិខិតទៀតទេ,ទាំងពីរដូចគ្នាបេះបិទ គ្មានភាពខុសគ្នាខាងយុទ្ធសាស្ត្រទេ,គ្មានទាំងពីរបង្ហាញពីការផ្លាស់ប្ដូរយុទ្ធសាស្ត្រអ្វីទាំងអស់,បេសកកម្មលោកមីសឆ្នាំ១៨៥៣ ព្រោះជាការផ្ញើសារដំបូងបំផុត,,A,"Cut-test: requires comparing the qualitative nature of two actions (diplomatic letter-sending vs. direct territorial assertion), not just recalling both happened. D mistakes 'first' for 'most assertive'; B, C deny an evident shift.",Unit 1
FRU-03,U2,កិច្ចសញ្ញា១៨៦៣ និងកំណែទម្រង់ដំបូង,Easy,MCQ-4,តើនរណាត្រូវបានចាត់ឱ្យចូលមកជួយអន្តរាគមន៍ស្វែងរកគ្រឿងសម្រាប់ពិធីអភិសេកព្រះបាទនរោត្តម?,ដូដាដឺឡាក្រេ (Doudart de Lagrée),ប៉ូល ឌូមែរ (Paul Doumer),លោក ស៊ីមវ៉ារ,ដឺឡាក្រង់ឌីយែរ (De la Grandière),,A,"D is the governor who dispatched him, not the one who intervened directly — a genuine name mixed with the wrong role. B, C are anachronistic (from unrelated later periods).",Unit 2
FRU-04,U2,កិច្ចសញ្ញា១៨៦៣ និងកំណែទម្រង់ដំបូង,Medium,MCQ-4,តើអ្វីទៅជាការដូរប្រែគ្នាចម្បងក្នុងសន្ធិសញ្ញាមិត្តភាពសម្ងាត់ឆ្នាំ១៨៦៣?,កម្ពុជាទទួលបានឯករាជ្យពេញលេញ ជាថ្នូរនឹងបង់ពន្ធប្រចាំឆ្នាំ,បារាំងប្រគល់អាវុធជូនខ្មែរ ជាថ្នូរនឹងសិទ្ធិធ្វើពាណិជ្ជកម្មសេរី,បារាំងប្រគល់កូសាំងស៊ីនមកខ្មែរភ្លាមៗ ជាថ្នូរនឹងសិទ្ធិនេសាទ,បារាំងធានាការពារទឹកដីខ្មែរពីការបាត់បង់បន្ថែម ជាថ្នូរនឹងកម្ពុជាប្រគល់បុព្វសិទ្ធិខាងតុលាការ/ទីតាំង និងទទួលរ៉េស៊ីដង់បារាំងអមព្រះមហាក្សត្រ,,D,"B, A, C invent alternate exchanges not stated in the treaty's actual content.",Unit 2
FRU-05,U2,កិច្ចសញ្ញា១៨៦៣ និងកំណែទម្រង់ដំបូង,Medium,MCQ-4,កម្មវិធីកំណែទម្រង់ឆ្នាំ១៨៧៧ ត្រូវបានជំរុញដោយកត្តាសេដ្ឋកិច្ច និងកត្តានយោបាយ។ តើទំនាក់ទំនងរវាងកត្តាទាំងពីរនេះជាបែបណា?,កត្តាទាំងពីរគ្មានទំនាក់ទំនងគ្នាទាល់តែសោះ,ការទប់ស្កាត់ពាណិជ្ជកម្មបារាំងដោយប្រព័ន្ធសក្ដិភូមិ បានលើកទឹកចិត្តឱ្យបារាំងចង់បង្រួបបង្រួមរចនាសម្ព័ន្ធសង្គមកម្ពុជាឱ្យចូលនឹងប្រព័ន្ធឯកភាពក្នុងឥណ្ឌូចិនបារាំង ជាកត្តាទាំងពីរដែលពាក់ព័ន្ធគ្នា,កត្តាសេដ្ឋកិច្ចមិនទាក់ទងនឹងកម្មវិធីកំណែទម្រង់ឆ្នាំ១៨៧៧ទាល់តែសោះ,កត្តានយោបាយកើតឡើងមុន រួចទើបនាំឱ្យមានកត្តាសេដ្ឋកិច្ចតាមក្រោយ,,B,"Cut-test: a memorizer recalling 'there were 2 reasons' may not grasp they are interconnected rather than sequential or unrelated — A, D, C each misrepresent that relationship.",Unit 2
FRU-06,U2,កិច្ចសញ្ញា១៨៦៣ និងកំណែទម្រង់ដំបូង,Hard,MCQ-4,"ថ្វីត្បិតតែកិច្ចចរចាព្រំដែនបារាំង-សៀម (ដែលនាំមកនូវការប្រគល់ដីឆ្នាំ១៩០៤, ១៩០៧, ១៩០៨) មិនមានចែងជាផ្លូវការក្នុងកម្មវិធីកំណែទម្រង់ ១៨៧៧ ក៏ដោយ តើហេតុអ្វីបានជាអត្ថបទរួមបញ្ចូលរឿងនេះទុកក្នុងបរិបទដូចគ្នា?",ព្រោះការចរចាព្រំដែនកើតឡើងក្នុងឆ្នាំ១៨៧៧ ដូចគ្នា,ព្រោះការចរចាព្រំដែននេះបម្រើគោលដៅជាមូលដ្ឋានដូចគ្នា គឺបង្កើតប្រព័ន្ធឯកភាពក្នុងសហព័ន្ធឥណ្ឌូចិនបារាំង ដែលជាកត្តានយោបាយចម្បងនៃឆ្នាំ១៨៧៧,ព្រោះកម្មវិធីកំណែទម្រង់ ១៨៧៧ ជាក់ស្តែងមានចែងច្បាស់អំពីព្រំដែន,ព្រោះព្រះបាទនរោត្តមជាអ្នកចរចាព្រំដែនដោយផ្ទាល់,,B,"Cut-test: A is factually wrong (the border treaties came decades later, 1904-1908) — a memorizer vaguely recalling 'border stuff near 1877' without tracking real dates could pick it. C directly contradicts the text's own statement that it wasn't in the formal program. D is unsupported. Only B shows the shared underlying political-integration motive.",Unit 2
